Operado;Operación;Especie;Cantidad;Precio;Importe;mep;Precio_usd;Inversion_usd;Ticker;Empresa;Ratio;tipo
2024-07-22;VTAS;"CTRAL COSTANERA ""B""";-884.0;343.043;303249.7;1333.37;0.26;-229.84;;;;bonos
2024-07-18;DIV;CEDEAR ALIBABA GROUP HOLDING LIMITED;;;;1315.29;;;BABA;Alibaba Group Holding Limited;9.0;accion
2024-07-18;RTA;ON CENT.TERM/GEN.MED 21 U$S V17/04/25;;;11199.51;1315.29;;;;;;bonos
2024-07-17;DIV;CEDEAR OCCIDENTAL PETROLEUM CORP.;;;;1300.0;;;OXY;Occidental Petroleum Corp.;5.0;accion
2024-07-17;DIV;CEDEAR BANCO BRADESCO SA;;;;1300.0;;;BBD;Banco Bradesco S.A.;1.0;accion
2024-07-17;DIV;CEDEAR U.S.BANCO;;;;1300.0;;;USB;U.S. Bancorp;5.0;accion
2024-07-11;DIV;CEDEAR FEDEX;;;;1403.33;;;FDX;Fedex Corp;10.0;accion
2024-07-11;RTA;BONOS REP. ARG. U$S STEP UP V.09/07/30;;;;1403.33;;;;;;bonos
2024-07-11;RTA;BONO REP ARGENTINA USD 1% 2029;;;;1403.33;;;;;;bonos
2024-07-11;DIV;BONO REP. ARGENTINA USD STEP UP 2030;;;;1403.33;;;;;;bonos
2024-07-10;CPRA;BONOS REP. ARG. U$S 1% STEP UP V09/07/29;88.0;79607.16;-70054.3;1377.39;57.8;5086.4;;;;bonos
2024-07-10;VTAS;BONO REP ARGENTINA USD 1% 2029;-90.0;78074.88;70267.39;1377.39;56.68;-5101.2;;;;bonos
2024-07-08;CPRA;BONO DEL TESORO BONCER 2% $ 2026;5000.0;1749.8;-87489.77;1386.86;1.26;6300.0;;;;bonos
2024-07-08;VTAS;BONOS REP. ARG. U$S STEP UP V.09/07/30;-110.0;77625.6;85388.16;1386.86;55.97;-6156.7;;;;bonos
2024-07-03;DIV;CEDEAR NIKE INC;;;;1382.5;;;NKE;Nike Inc.;12.0;accion
2024-07-03;DIV;CEDEAR COCA COLA COMPANY;;;;1382.5;;;KO;The Coca Cola Company;5.0;accion
2024-07-02;CPRA;BONO DEL TESORO BONCER 2% $ 2026;260.0;1714.24;-4457.01;1428.46;1.2;312.0;;;;bonos
2024-07-02;CPRA;CEDEAR VALE S.A.;16.0;7919.48;-126711.66;1428.46;5.54;88.64;VALE;Vale S.A.;2.0;accion
2024-07-02;VTAS;CEDEAR FEDEX;-3.0;42341.34;127024.01;1428.46;29.64;-88.92;FDX;Fedex Corp;10.0;accion
2024-07-02;DIV;BONOS REP ARG CUASI PAR $ 3,31% 2045;;;1588.5;1428.46;;;;;;bonos
2024-07-02;DIV;CEDEAR BANK OF AMERICA;;;;1428.46;;;BA.C;Bank Of America Corporation;4.0;accion
2024-07-02;DIV;CEDEAR PEPSICO INC;;;;1428.46;;;PEP;Pepsico Inc;18.0;accion
2024-07-02;DIV;AMERICAN INTERNACIONAL GROUP INC.;;;;1428.46;;;;;;bonos
2024-06-28;CPRA;CEDEAR MC DONALDS CORP;2.0;14359.85;-28719.7;1347.96;10.65;21.3;MCD;Mcdonald'S Corp.;24.0;accion
2024-06-28;CPRA;CEDEAR TENARIS S.A. (ADS);3.0;41602.96;-124808.87;1347.96;30.86;92.58;TEN;Tenaris;1.0;accion
2024-06-28;CPRA;CEDEAR SNOWFLAKE INC;20.0;6104.44;-122088.84;1347.96;4.53;90.6;SNOW;Snowflake Inc.;30.0;accion
2024-06-28;CPRA;CEDEAR NIKE INC;15.0;8442.43;-126636.46;1347.96;6.26;93.9;NKE;Nike Inc.;12.0;accion
2024-06-28;VTAS;BONO REP. ARGENTINA USD STEP UP 2030;-550.0;74054.05;407297.27;1347.96;54.94;-30217.0;;;;bonos
2024-06-28;CPU$;BONO REP. ARGENTINA USD STEP UP 2030;550.0;;-454.98;1347.96;;;;;;bonos
2024-06-27;DIV;CEDEAR UNITEDHEALTH GROUP INC;;;;1331.96;;;UNH;UnitedHealth Group Inc.;33.0;accion
2024-06-24;DIV;CEDEAR GOOGLE INC.;;;;1295.22;;;GOOGL;Alphabet Inc.;58.0;accion
2024-06-24;DIV;CEDEAR SONY CORPORATION;;;;1295.22;;;SONY;Sony Group Corporation;8.0;accion
2024-06-24;DIV;CEDEAR MC DONALDS CORP;;;;1295.22;;;MCD;Mcdonald'S Corp.;24.0;accion
2024-06-19;DIV;CEDEAR PFIZER INC;;;;1273.81;;;PFE;Pfizer Inc.;4.0;accion
2024-06-18;DIV;CEDEAR MICROSOFT CORP.;;;;1245.49;;;MSFT;Microsoft Corp.;30.0;accion
2024-06-14;CPRA;BONOS REP ARG CUASI PAR $ 3,31% 2045;250.0;19921.82;-49804.56;1244.64;16.01;4002.5;;;;bonos
2024-06-14;VTTR;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;-140.0;35040.19;49056.27;1244.64;28.15;-3941.0;;;;bonos
2024-06-14;COTR;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;140.0;35084.8;-49118.72;1244.64;28.19;3946.6;;;;bonos
2024-06-14;CPRA;BONOS REP ARG A LA PAR $ STEP UP 2038;420.0;16386.18;-68821.94;1244.64;13.17;5531.4;;;;bonos
